title;film_id;type;id_rating;director;cast;country;date_added;release_year;duration;id_listed_in;marks
Dick Johnson Is Dead;s1;Movie;1;Kirsten Johnson;;United States;September 25, 2021;2020;90 min;1;5
Blood & Water;s2;TV Show;2;;Ama Qamata, Khosi Ngema, Gail Mabalane, Thabang Molaba, Dillon Windvogel, Natasha Thahane, Arno Greeff, Xolile Tshabalala, Getmore Sithole, Cindy Mahlangu, Ryle De Morny, Greteli Fincham, Sello Maake Ka-Ncube, Odwa Gwanya, Mekaila Mathys, Sandi Schultz, Duane Williams, Shamilla Miller, Patrick Mofokeng;South Africa;September 24, 2021;2021;2 Seasons;2;4
Ganglands;s3;TV Show;2;Julien Leclercq;Sami Bouajila, Tracy Gotoas, Samuel Jouy, Nabiha Akkari, Sofia Lesaffre, Salim Kechiouche, Noureddine Farihi, Geert Van Rampelberg, Bakary Diombera;;September 24, 2021;2021;1 Season;3;3
Jailbirds New Orleans;s4;TV Show;2;;;;September 24, 2021;2021;1 Season;4;1
Kota Factory;s5;TV Show;2;;Mayur More, Jitendra Kumar, Ranjan Raj, Alam Khan, Ahsaas Channa, Revathi Pillai, Urvi Singh, Arun Kumar;India;September 24, 2021;2021;2 Seasons;5;0
Midnight Mass;s6;TV Show;2;Mike Flanagan;Kate Siegel, Zach Gilford, Hamish Linklater, Henry Thomas, Kristin Lehman, Samantha Sloyan, Igby Rigney, Rahul Kohli, Annarah Cymone, Annabeth Gish, Alex Essoe, Rahul Abburi, Matt Biedel, Michael Trucco, Crystal Balint, Louis Oliver;;September 24, 2021;2021;1 Season;6;5
My Little Pony: A New Generation;s7;Movie;3;Robert Cullen, José Luis Ucha;Vanessa Hudgens, Kimiko Glenn, James Marsden, Sofia Carson, Liza Koshy, Ken Jeong, Elizabeth Perkins, Jane Krakowski, Michael McKean, Phil LaMarr;;September 24, 2021;2021;91 min;7;5
Sankofa;s8;Movie;2;Haile Gerima;Kofi Ghanaba, Oyafunmike Ogunlano, Alexandra Duah, Nick Medley, Mutabaruka, Afemo Omilami, Reggie Carter, Mzuri;United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia;September 24, 2021;1993;125 min;8;2
The Great British Baking Show;s9;TV Show;4;Andy Devonshire;Mel Giedroyc, Sue Perkins, Mary Berry, Paul Hollywood;United Kingdom;September 24, 2021;2021;9 Seasons;9;2
The Starling;s10;Movie;1;Theodore Melfi;Melissa McCarthy, Chris O'Dowd, Kevin Kline, Timothy Olyphant, Daveed Diggs, Skyler Gisondo, Laura Harrier, Rosalind Chao, Kimberly Quinn, Loretta Devine, Ravi Kapoor;United States;September 24, 2021;2021;104 min;10;3
